companyName, stockName, high,low, open, close, volume, date
Hermès, RMS, 5.980000019073486, 3.8399999141693115, 5.980000019073486, 4.099999904632568, 14949.0, 2011-09-27
Hermès, RMS, 4.389999866485596, 3.4000000953674316, 4.090000152587891, 3.7899999618530273, 1989.0, 2011-09-28
Hermès, RMS, 4.139999866485596, 3.0, 3.740000009536743, 3.700000047683716, 6954.0, 2011-09-29
Hermès, RMS, 4.099999904632568, 3.6500000953674316, 3.950000047683716, 4.099999904632568, 6189.0, 2011-09-30
Hermès, RMS, 4.230000019073486, 3.9000000953674316, 4.0, 4.230000019073486, 687.0, 2011-10-03
Hermès, RMS, 4.230000019073486, 3.549999952316284, 4.230000019073486, 3.549999952316284, 1666.0, 2011-10-04
Hermès, RMS, 3.6600000858306885, 3.109999895095825, 3.5, 3.109999895095825, 1997.0, 2011-10-05
Hermès, RMS, 4.400000095367432, 3.3499999046325684, 3.690000057220459, 3.8499999046325684, 6030.0, 2011-10-06
Hermès, RMS, 4.179999828338623, 3.299999952316284, 4.179999828338623, 3.549999952316284, 1450.0, 2011-10-07
Hermès, RMS, 3.7899999618530273, 3.049999952316284, 3.4000000953674316, 3.4000000953674316, 13764.0, 2011-10-10
Hermès, RMS, 3.299999952316284, 3.0799999237060547, 3.299999952316284, 3.0799999237060547, 1390.0, 2011-10-11
Hermès, RMS, 3.190000057220459, 3.190000057220459, 3.190000057220459, 3.190000057220459, 10.0, 2011-10-12
Hermès, RMS, 3.549999952316284, 3.1500000953674316, 3.190000057220459, 3.200000047683716, 2102.0, 2011-10-13
Hermès, RMS, 3.380000114440918, 3.1500000953674316, 3.1500000953674316, 3.380000114440918, 418.0, 2011-10-14
Hermès, RMS, 3.3499999046325684, 3.3499999046325684, 3.3499999046325684, 3.3499999046325684, 25.0, 2011-10-17
Hermès, RMS, 3.2899999618530273, 3.1700000762939453, 3.2899999618530273, 3.1700000762939453, 66.0, 2011-10-18
Hermès, RMS, 3.240000009536743, 2.8399999141693115, 3.240000009536743, 3.0, 5073.0, 2011-10-19
Hermès, RMS, 3.0, 3.0, 3.0, 3.0, 280.0, 2011-10-20
