CompanyName, StockName, High,Low, Open, Close, Volume, Date,Pattern_label,Pattern
Veolia,VIE,25.5,19.5,21.5,23.4099998474121,1608000, 2019-10-03,0,double bottom
Veolia,VIE,24.25,22.0100002288818,23,23.1200008392334,323200, 2019-10-04,0,double bottom
Veolia,VIE,23.8400001525879,21.0400009155273,23.0900001525879,21.7399997711182,449200, 2019-10-07,0,double bottom
Veolia,VIE,22.4449996948242,20.7000007629395,21.7399997711182,21.0499992370605,301300, 2019-10-08,0,double bottom
Veolia,VIE,21.8099994659424,18.2000007629395,21.2000007629395,19.1100006103516,710200, 2019-10-09,0,double bottom
Veolia,VIE,19.9500007629395,18.4799995422363,18.9799995422363,18.75,257200, 2019-10-10,0,double bottom
Veolia,VIE,19.7210006713867,18.4750003814697,19.2600002288818,19.2000007629395,132400, 2019-10-11,0,double bottom
Veolia,VIE,19.3600006103516,18.2099990844727,19.1200008392334,18.75,120200, 2019-10-14,0,double bottom
Veolia,VIE,20.2000007629395,18.5900001525879,18.6800003051758,19.8500003814697,79400, 2019-10-15,0,double bottom
Veolia,VIE,21.4699993133545,19.3299999237061,19.7099990844727,20.7399997711182,106600, 2019-10-16,0,double bottom
Veolia,VIE,21.7000007629395,19.9650001525879,20.7399997711182,20.5699996948242,42600, 2019-10-17,0,double bottom
Veolia,VIE,21.3309993743896,20.1299991607666,20.6200008392334,20.8700008392334,19900, 2019-10-18,0,double bottom
Veolia,VIE,21.6499996185303,20.2399997711182,21.0349998474121,20.2999992370605,77000, 2019-10-21,0,double bottom
Veolia,VIE,21.4400005340576,19.5900001525879,20.0499992370605,19.9899997711182,47800, 2019-10-22,0,double bottom
Veolia,VIE,20.5849990844727,19.1900005340576,19.6700000762939,19.3700008392334,54300, 2019-10-23,0,double bottom
Veolia,VIE,20.4099998474121,19.0100002288818,19.1499996185303,19.6499996185303,79900, 2019-10-24,0,double bottom
Veolia,VIE,20.9799995422363,19.3969993591309,19.9699993133545,20.5200004577637,57700, 2019-10-25,0,double bottom
Veolia,VIE,22,20.6700000762939,20.9400005340576,21.5699996948242,113200, 2019-10-28,0,double bottom
Veolia,VIE,22.4500007629395,21.25,21.3999996185303,22.1100006103516,51300, 2019-10-29,0,double bottom
Veolia,VIE,22.6800003051758,21.75,21.7900009155273,22.3099994659424,26800, 2019-10-30,0,double bottom
Veolia,VIE,24.5599994659424,20.5699996948242,22.6200008392334,21.75,91900, 2019-10-31,0,double bottom
Veolia,VIE,23.3299999237061,19.6000003814697,21.5599994659424,22.5400009155273,43600, 2019-11-01,0,double bottom
Veolia,VIE,24.75,22.7000007629395,22.7000007629395,23.6299991607666,101400, 2019-11-04,0,double bottom
Veolia,VIE,24.5499992370605,23.6200008392334,23.6599998474121,24.1299991607666,67400, 2019-11-05,0,double bottom
Veolia,VIE,26.75,23.75,24.3999996185303,25.0799999237061,105500, 2019-11-06,0,double bottom
Veolia,VIE,27.9850006103516,24.4599990844727,24.9699993133545,26.9899997711182,85700, 2019-11-07,1,double top
Veolia,VIE,33.4300003051758,26.8799991607666,26.8799991607666,33,91100, 2019-11-08,1,double top
Veolia,VIE,33.6990013122559,32.5,33.2999992370605,32.9000015258789,97200, 2019-11-11,1,double top
Veolia,VIE,33.4249992370605,31.6599998474121,32.9300003051758,32.3800010681152,93100, 2019-11-12,1,double top
Veolia,VIE,32.2000007629395,28,32.2000007629395,28.0799999237061,66100, 2019-11-13,1,double top
Veolia,VIE,28.7700004577637,26.4799995422363,28.7700004577637,26.6399993896484,20700, 2019-11-14,1,double top
Veolia,VIE,28.8050003051758,25.6599998474121,26.9300003051758,27.5300006866455,43800, 2019-11-15,1,double top
Veolia,VIE,28.4449996948242,25.25,27.3500003814697,25.8500003814697,61500, 2019-11-18,1,double top
Veolia,VIE,26.7600002288818,24.75,25.8799991607666,25.6299991607666,61100, 2019-11-19,1,double top
Veolia,VIE,26.9400005340576,24.3099994659424,25.5200004577637,26.0900001525879,74300, 2019-11-20,1,double top
Veolia,VIE,27.7999992370605,24.9950008392334,26.1399993896484,26,71400, 2019-11-21,1,double top
Veolia,VIE,27.2000007629395,25.4400005340576,26.0300006866455,26.7000007629395,78800, 2019-11-22,1,double top
Veolia,VIE,28,24.1000003814697,26.4300003051758,26.75,269500, 2019-11-25,1,double top
Veolia,VIE,30.3899993896484,26.25,26.6700000762939,29.7299995422363,270200, 2019-11-26,1,double top
Veolia,VIE,32.5900001525879,28,29.9400005340576,32.1599998474121,235300, 2019-11-27,1,double top
Veolia,VIE,32.5660018920898,30.1450004577637,32.0699996948242,30.9599990844727,146500, 2019-11-29,1,double top
Veolia,VIE,31.2049999237061,26.7800006866455,30.9300003051758,28.3299999237061,104200, 2019-12-02,1,double top
Veolia,VIE,29.9750003814697,25.0100002288818,28.0100002288818,26,153300, 2019-12-03,2,inverse head and shoulders
Veolia,VIE,26.9599990844727,25.8700008392334,26.0499992370605,26.1499996185303,87400, 2019-12-04,2,inverse head and shoulders
Veolia,VIE,27.8899993896484,25.8799991607666,26.1800003051758,26.6399993896484,146700, 2019-12-05,2,inverse head and shoulders
Veolia,VIE,27.7399997711182,26.4500007629395,26.8400001525879,27.4699993133545,119800, 2019-12-06,2,inverse head and shoulders
Veolia,VIE,27.9500007629395,25.8099994659424,27.2800006866455,25.9300003051758,121200, 2019-12-09,2,inverse head and shoulders
Veolia,VIE,29.0200004577637,25.5,25.8799991607666,27.8700008392334,135300, 2019-12-10,2,inverse head and shoulders
Veolia,VIE,29.3400001525879,25.6000003814697,27.9200000762939,28.1800003051758,177900, 2019-12-11,2,inverse head and shoulders
Veolia,VIE,32,26.0790004730225,31.7900009155273,26.8600006103516,197700, 2019-12-12,2,inverse head and shoulders
